MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT
"000","TST","X","X",0,"X","","","","TIME",12,17,0,"9.000000",0,0,"","",0,"","",0,""
"001","B84","X","X",0,"X","","","","ECURR",1,1,-6,"0.000000",0,0,"B84","",0,"","",0,""
"000","WCH","X","X",0,"X","","","","TIME",604800,1,0,"0.000000",0,0,"WEE","X",0,"","",0,""
"001","BAG","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"BG","X",0,"","",0,""
"000","YD","X","X",0,"X","","","","LENGTH",1143,1250,0,"0.000000",0,0,"","",0,"","",0,""
"000","YD2","X","X",0,"X","","","","SURFAC",250,299,0,"0.000000",0,0,"","",0,"","",0,""
"001","BAR","X","X",0,"","","","","PRESS",100000,1,0,"0.000000",0,0,"BAR","",0,"","",0,""
"000","YD3","X","X",0,"X","","","","VOLUME",764551872,1,-9,"0.000000",0,0,"","",0,"","",0,""
"001","BB6","X","X",3,"X","","","","VOLUME",41225904,259303135,0,"0.000000",0,3,"","",0,"","",0,""
"001","10","X","X",0,"X","","","","TIME",86400,1,0,"0.000000",0,0,"DAY","",0,"","",0,""
"001","BBL","X","X",3,"X","","","","VOLUME",41225904,259303135,0,"0.000000",0,3,"","",0,"","",0,""
"001","ACR","X","X",0,"X","","","","SURFAC",1210000,299,0,"0.000000",0,0,"","",0,"","",0,""
"001","BCF","X","X",0,"X","","","","VOLUME",28316736,1,-3,"0.000000",0,0,"","",0,"","",0,""
"001","FT3","X","X",0,"X","","","","VOLUME",28316736,1,-9,"0.000000",0,0,"","",0,"","",0,""
"001","BOT","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"BO","X",0,"","",0,""
"001","GLL","X","X",0,"X","","","","VOLUME",3785344,1,-9,"0.000000",0,0,"","",0,"","",0,""
"811","MON","X","X",0,"X","","","","TIME",2592000,1,0,"0.000000",0,0,"MON","X",0,"","",0,""
"001","GLM","X","X",3,"X","","","","SURFAC",473168,201168,-6,"0.000000",0,0,"","",0,"","",0,""
"001","BQK","X","X",0,"","","","","SPARAD",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","GPH","X","X",3,"X","","","","VOLFLO",3785344,3600,-9,"0.000000",0,0,"","",0,"","",0,""
"001","BUI","X","X",0,"X","","","","VOLUME",363687222,1,-11,"0.000000",0,0,"","",0,"","",0,""
"811","MS","X","X",0,"X","","","","TIME",1,1000,0,"0.000000",0,0,"C26","",0,"","",0,""
"001","H","","",3,"X","","","","TIME",3600,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","BUU","X","X",0,"X","","","","VOLUME",352390701,1,-11,"0.000000",0,0,"","",0,"","",0,""
"811","MS2","X","X",0,"X","","","","ACCEL",1,1,0,"0.000000",0,0,"MSK","X",0,"","",0,""
"001","HAR","X","X",0,"X","","","","SURFAC",10000,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","C10","X","X",0,"X","","","","CAPACI",1,1,-3,"0.000000",0,0,"C10","",0,"","",0,""
"001","HPA","X","X",0,"","","","","PRESS",100,1,0,"0.000000",0,0,"A97","",0,"","",0,""
"811","MV","X","X",0,"","","","","VOLTAG",1,1000,0,"0.000000",0,0,"2Z","",0,"","",0,""
"001","C36","X","X",0,"X","","","","ACBAC",1,1,0,"0.000000",0,3,"C36","",0,"","",0,""
"001","IN","X","X",3,"X","","","","LENGTH",127,5000,0,"0.000000",0,0,"INH","X",0,"","",0,""
"811","MW","X","X",0,"","","","","POWER",1,1000,0,"0.000000",0,0,"C31","",0,"","",0,""
"001","C38","X","X",0,"X","","","","ACBAC",1000,1,0,"0.000000",0,3,"C38","",0,"","",0,""
"001","IN2","X","X",0,"X","","","","SURFAC",125,193752,0,"0.000000",0,0,"","",0,"","",0,""
"811","N","X","X",0,"","","","","FORCE",1,1,0,"0.000000",0,0,"NEW","X",0,"","",0,""
"001","C39","X","X",0,"X","","","","ECURR",1,1,-9,"0.000000",0,0,"C39","",0,"","",0,""
"001","IN3","X","X",0,"X","","","","VOLUME",16387,1,-9,"0.000000",0,0,"","",0,"","",0,""
"811","NM","X","X",0,"X","","","","SURFTE",1,1000000,-3,"0.000000",0,0,"","",0,"","",0,""
"001","C3S","X","X",0,"X","","","","VOLFLO",1,1000000,0,"0.000000",0,0,"2J","",0,"","",0,""
"001","JHR","X","X",0,"X","","","","TIME",31536000,1,0,"0.000000",0,0,"ANN","X",0,"","",0,""
"811","NO","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,2,"","",0,"","",0,""
"001","C41","X","X",0,"X","","","","CAPACI",1,1,-9,"0.000000",0,0,"C41","",0,"","",0,""
"001","KA","X","X",0,"","","","","ECURR",1000,1,0,"0.000000",0,0,"B22","",0,"","",0,""
"811","NS","X","X",0,"X","","","","TIME",1,1000000,-3,"0.000000",0,0,"C47","",0,"","",0,""
"001","C56","X","X",0,"X","","","","PRESS",1,1,6,"0.000000",0,0,"C56","",0,"","",0,""
"001","KBK","X","X",0,"","","","","SPARAD",1000,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","CCM","X","X",3,"X","","","","VOLUME",1,1000000,0,"0.000000",0,0,"CMQ","X",0,"","",0,""
"811","OHM","X","X",0,"","","","","RESIST",1,1,0,"0.000000",0,0,"OHM","X",0,"","",0,""
"001","KHZ","X","X",0,"","","","","FREQU",1000,1,0,"0.000000",0,0,"KHZ","",0,"","",0,""
"001","KJ","X","X",0,"","","","","ENERGY",1000,1,0,"0.000000",0,0,"KJO","",0,"","",0,""
"001","CD","X","X",0,"","","","","LIGHT",1,1,0,"0.000000",0,0,"CDL","X",0,"","",0,""
"811","OPH","X","X",0,"X","","","","TIME",1,1,0,"0.000000",0,0,"STN","",0,"","",0,""
"001","KJK","X","X",0,"X","","","","SPENER",1000,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","CDM","X","X",3,"X","","","","VOLUME",1,1000,0,"0.000000",0,0,"DMQ","X",0,"","",0,""
"811","OZ","X","X",0,"X","","","","MASS",567,20000,0,"0.000000",0,0,"ONZ","X",0,"","",0,""
"001","KJM","X","X",0,"X","","","","MOENER",1000,1,0,"0.000000",0,0,"","",0,"","",0,""
"811","PA","X","X",0,"","","","","PRESS",1,1,0,"0.000000",0,0,"PAL","X",0,"","",0,""
"001","CM","X","X",3,"X","","","","LENGTH",1,100,0,"0.000000",0,0,"CMT","X",0,"","",0,""
"001","KM","X","X",0,"X","","","","LENGTH",1000,1,0,"0.000000",0,0,"KMT","X",0,"","",0,""
"001","CM2","X","X",3,"X","","","","SURFAC",1,10000,0,"0.000000",0,0,"CMK","",0,"","",0,""
"811","PAA","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"PR","",0,"","",0,""
"001","KM2","X","X",0,"X","","","","SURFAC",1000000,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","CMH","X","X",0,"","","","","SPEED",1,360000,0,"0.000000",0,0,"","",0,"","",0,""
"811","PAK","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"PK","",0,"","",0,""
"001","KMH","X","X",0,"X","","","","SPEED",10,36,0,"0.000000",0,0,"KMH","",0,"","",0,""
"001","CS","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"CS","X",0,"","",0,""
"001","KOH","X","X",0,"","","","","RESIST",1000,1,0,"0.000000",0,0,"B49","",0,"","",0,""
"811","PAL","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"PF","",0,"","",0,""
"001","KT","X","X",0,"X","","","","MASS",1000000,1,0,"0.000000",0,0,"","",0,"","",0,""
"811","PAS","X","X",0,"X","","","","VISDYN",1,1,0,"0.000000",0,0,"C65","",0,"","",0,""
"001","KV","X","X",0,"","","","","VOLTAG",1000,1,0,"0.000000",0,0,"KVT","",0,"","",0,""
"811","PC","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"PCE","",0,"","",0,""
"001","CTL","X","X",0,"X","","","","VOLUME",1,100000,0,"0.000000",0,0,"","",0,"","",0,""
"001","MWH","X","X",0,"X","","","","ENERGY",3600,1,6,"0.000000",0,0,"","",0,"","",0,""
"811","PER","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","D10","X","X",0,"X","","","","CONDUC",1,1,0,"0.000000",0,3,"D10","",0,"","",0,""
"001","OZ","X","X",0,"X","","","","MASS",567,20000,0,"0.000000",0,0,"","",0,"","",0,""
"811","PH","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","OZA","X","X",0,"X","","","","VOLUME",29573,1,-9,"0.000000",0,0,"","",0,"","",0,""
"001","D41","X","X",0,"X","","","","DENSI",1,1,3,"0.000000",0,0,"D41","",0,"","",0,""
"800","OM","X","X",0,"X","","","","SPREST",1,1,0,"0.000000",0,0,"C61","",0,"","",0,""
"001","PDA","X","X",0,"X","","","","TIME",28800,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","D46","X","X",0,"X","","","","POWER",1,1,0,"0.000000",0,0,"D46","",0,"","",0,""
"001","PT","X","X",0,"X","","","","VOLUME",473168,1,-9,"0.000000",0,0,"","",0,"","",0,""
"001","DEG","X","X",99,"X","","","","AAAADL",1,1,0,"0.000000",0,1,"DD","",0,"","",0,""
"001","VPB","X","X",0,"","","","","VPROPO",1,1,-9,"0.000000",0,0,"","",0,"","",0,""
"001","QT","X","X",0,"X","","","","VOLUME",946336,1,-9,"0.000000",0,0,"","",0,"","",0,""
"800","OPH","X","X",0,"X","","","","TIME",1,1,0,"0.000000",0,0,"STN","",0,"","",0,""
"001","DM","X","X",3,"X","","X","","LENGTH",1,10,0,"0.000000",0,0,"DMT","X",0,"","",0,""
"001","RHO","X","X",0,"X","","","","DENSI",1000,1,0,"0.000000",0,0,"23","",0,"","",0,""
"001","DR","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"DR","X",0,"","",0,""
"811","PPM","X","X",0,"X","","","","PROPOR",1,1,-6,"0.000000",0,0,"59","",0,"","",0,""
"001","VPM","X","X",0,"","","","","VPROPO",1,1,-6,"0.000000",0,0,"","",0,"","",0,""
"001","STD","X","X",3,"X","","","","TIME",3600,1,0,"0.000000",0,1,"HUR","X",0,"","",0,""
"800","OZ","X","X",0,"X","","","","MASS",567,20000,0,"0.000000",0,0,"ONZ","X",0,"","",0,""
"001","DZ","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"DZN","X",0,"","",0,""
"811","PS","X","X",0,"X","","","","TIME",1,1,-12,"0.000000",0,0,"","",0,"","",0,""
"001","TAG","X","X",0,"X","","","","TIME",86400,1,0,"0.000000",0,0,"DAY","X",0,"","",0,""
"001","EA","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"EA","",0,"","",0,""
"001","VPT","X","X",0,"","","","","VPROPO",1,1,-12,"0.000000",0,0,"","",0,"","",0,""
"001","TC3","X","X",0,"","","","","TKONZ",1000000,1,0,"0.000000",0,0,"","",0,"","",0,""
"811","PSI","X","X",0,"X","","","","PRESS",70307,10,0,"0.000000",0,1,"","",0,"","",0,""
"001","TO","X","X",3,"X","","","","MASS",1000,1,0,"0.000000",0,0,"TNE","X",0,"","",0,""
"001","EE","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"811","PT","X","X",0,"X","","","","VOLUME",473168,1,-9,"0.000000",0,0,"PT","X",0,"","",0,""
"001","W","X","X",0,"","","","","POWER",1,1,0,"0.000000",0,0,"WTT","X",0,"","",0,""
"001","TON","X","X",0,"X","","","","MASS",4536,5,0,"0.000000",0,0,"","",0,"","",0,""
"001","EML","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"800","OZA","X","X",0,"X","","","","VOLUME",29573,1,-9,"0.000000",0,0,"","",0,"","",0,""
"811","QT","X","X",0,"X","","","","VOLUME",946336,1,-9,"0.000000",0,0,"QT","X",0,"","",0,""
"001","TST","X","X",0,"X","","","","TIME",12,17,0,"9.000000",0,0,"","",0,"","",0,""
"001","F","X","X",0,"","","","","CAPACI",1,1,0,"0.000000",0,0,"FAR","",0,"","",0,""
"001","WMK","X","X",0,"X","","","","THCOND",1,1,0,"0.000000",0,0,"D53","",0,"","",0,""
"811","REP","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","WCH","X","X",0,"X","","","","TIME",604800,1,0,"0.000000",0,0,"WEE","X",0,"","",0,""
"800","P","X","X",0,"X","","","","POINTS",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","FA","X","X",0,"","","","","TEMP",5,9,0,"255.372222",0,0,"FAH","X",0,"","",0,""
"811","RL","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"RL","",0,"","",0,""
"001","YD","X","X",0,"X","","","","LENGTH",1143,1250,0,"0.000000",0,0,"","",0,"","",0,""
"001","WTL","X","X",0,"X","","","","EVARA",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","FT","X","X",0,"X","","","","LENGTH",381,1250,0,"0.000000",0,0,"","",0,"","",0,""
"800","PA","X","X",0,"","","","","PRESS",1,1,0,"0.000000",0,0,"PAL","X",0,"","",0,""
"811","RM","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","YD2","X","X",0,"X","","","","SURFAC",250,299,0,"0.000000",0,0,"","",0,"","",0,""
"001","FT2","X","X",0,"X","","","","SURFAC",250,2691,0,"0.000000",0,0,"","",0,"","",0,""
"800","%","X","X",0,"X","","","","PROPOR",1,100,0,"0.000000",0,2,"P1","",0,"","",0,""
"001","YD3","X","X",0,"X","","","","VOLUME",764551872,1,-9,"0.000000",0,0,"","",0,"","",0,""
"811","ROL","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"RO","",0,"","",0,""
"800","PAA","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"PR","",0,"","",0,""
"001","G","X","X",3,"X","","","","MASS",1,1000,0,"0.000000",0,0,"GRM","X",0,"","",0,""
"800","FT","X","X",0,"X","","","","LENGTH",381,1250,0,"0.000000",0,0,"FOT","",0,"","",0,""
"811","S","X","X",0,"","","","","TIME",1,1,0,"0.000000",0,0,"SEC","X",0,"","",0,""
"800","%%","X","X",2,"","","","","AAAADL",1,1,0,"0.000000",0,2,"","",0,"","",0,""
"001","G/L","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"800","PAK","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"PK","",0,"","",0,""
"800","FT2","X","X",0,"X","","","","SURFAC",250,2691,0,"0.000000",0,2,"FTK","",0,"","",0,""
"811","SET","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"SET","",0,"","",0,""
"001","GAU","X","X",99,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"800","FT3","X","X",0,"X","","","","VOLUME",28316736,1,-9,"0.000000",0,0,"FTQ","X",0,"","",0,""
"800","%O","X","X",0,"X","","","","PROPOR",1,1000,0,"0.000000",0,0,"","",0,"","",0,""
"811","SHT","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"ST","",0,"","",0,""
"001","GC","X","X",0,"","","","","TEMP",1,1,0,"273.150000",0,0,"CEL","X",0,"","",0,""
"800","PAL","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"PF","",0,"","",0,""
"800","GB","X","X",0,"X","","","","MASS",1000,1,0,"0.000000",0,0,"GB","",0,"","",0,""
"811","ST","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"PCE","X",0,"","",0,""
"001","GHG","X","X",0,"","","","","MPROPO",1,100,0,"0.000000",0,0,"","",0,"","",0,""
"800","/MI","X","X",0,"","","","","TIME",1,1,0,"0.000000",0,0,"007","",0,"","",0,""
"800","GLL","X","X",3,"X","","","","VOLUME",3785344,1,-9,"0.000000",0,0,"GLL","X",0,"","",0,""
"811","STD","X","X",3,"X","","","","TIME",3600,1,0,"0.000000",0,1,"HUR","X",0,"","",0,""
"800","PAS","X","X",0,"X","","","","VISDYN",1,1,0,"0.000000",0,0,"C65","",0,"","",0,""
"001","GJ","X","X",0,"X","","","","ENERGY",1,1,9,"0.000000",0,0,"","",0,"","",0,""
"800","H","X","X",3,"X","","","","TIME",3600,1,0,"0.000000",0,0,"H","X",0,"","",0,""
"811","TAG","X","X",0,"X","","","","TIME",86400,1,0,"0.000000",0,0,"DAY","X",0,"","",0,""
"001","GKG","X","X",0,"","","","","MPROPO",1,1000,0,"0.000000",0,0,"","",0,"","",0,""
"800","001","X","X",3,"X","","","","AAAADL",1,1,0,"0.000000",0,3,"","",0,"","",0,""
"800","HAR","X","X",0,"X","","","","SURFAC",10000,1,0,"0.000000",0,0,"","",0,"","",0,""
"811","TK","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"800","PCT","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"001","GLI","X","X",0,"X","","","","DENSI",1,1,0,"0.000000",0,0,"GL","",0,"","",0,""
"800","HPA","X","X",0,"","","","","PRESS",100,1,0,"0.000000",0,0,"A97","",0,"","",0,""
"800","002","X","X",3,"X","","","","AAAADL",1,1,0,"0.000000",0,3,"","",0,"","",0,""
"811","TL","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"800","HUR","X","X",3,"","","","","TIME",3600,1,0,"0.000000",0,0,"HR","",0,"","",0,""
"001","GM","X","X",0,"X","","","","MOLMAS",1,1000,0,"0.000000",0,0,"","",0,"","",0,""
"800","PDA","X","X",0,"X","","","","TIME",28800,1,0,"0.000000",0,0,"DAY","",0,"","",0,""
"811","TO","X","X",3,"X","","","","MASS",1000,1,0,"0.000000",0,0,"TNE","X",0,"","",0,""
"800","IN","X","X",3,"X","","","","LENGTH",127,5000,0,"0.000000",0,0,"INH","",0,"","",0,""
"001","GM2","X","X",0,"X","","","","MASSBD",1,1000,0,"0.000000",0,0,"","",0,"","",0,""
"800","003","X","X",0,"","","","","VPROPO",1,1,0,"0.000000",0,1,"001","",0,"","",0,""
"811","V","X","X",0,"","","","","VOLTAG",1,1,0,"0.000000",0,0,"VLT","X",0,"","",0,""
"800","IN2","X","X",0,"X","","","","SURFAC",125,193752,0,"0.000000",0,0,"","",0,"","",0,""
"001","GQ","X","X",0,"X","","","","DENSI",1,1,-9,"0.000000",0,0,"GQ","",0,"","",0,""
"800","PER","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"IE","",0,"","",0,""
"800","IN3","X","X",0,"X","","","","VOLUME",16387,1,-9,"0.000000",0,0,"INQ","X",0,"","",0,""
"811","W","X","X",0,"","","","","POWER",1,1,0,"0.000000",0,0,"WTT","X",0,"","",0,""
"800","004","X","X",0,"","","","","VPROPO",1,1,0,"0.000000",0,1,"002","",0,"","",0,""
"001","GRO","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"GRO","X",0,"","",0,""
"800","PH","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"800","JHR","X","X",0,"X","","","","TIME",31536000,1,0,"0.000000",0,0,"ANN","X",0,"","",0,""
"001","GW","X","X",0,"X","","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"811","WCH","X","X",0,"X","","","","TIME",604800,1,0,"0.000000",0,0,"WEE","X",0,"","",0,""
"800","005","X","X",0,"","","","","VPROPO",1,1,0,"0.000000",0,0,"003","",0,"","",0,""
"800","KA","X","X",0,"","","","","ECURR",1000,1,0,"0.000000",0,0,"B22","",0,"","",0,""
"001","HL","X","X",3,"X","","","","VOLUME",1,10,0,"0.000000",0,0,"HLT","X",0,"","",0,""
"800","KBK","X","X",0,"","","","","SPARAD",1000,1,0,"0.000000",0,0,"","",0,"","",0,""
"800","PKT","X","X",0,"X","","","","MASS",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"812","%","X","X",0,"X","","","","PROPOR",1,100,0,"0.000000",0,0,"P1","",0,"","",0,""
"000","%","X","X",0,"X","","","","PROPOR",1,100,0,"0.000000",0,0,"P1","",0,"","",0,""
