"MANDT","KURST","FCURR","TCURR","GDATU","UKURS","FFACT","TFACT"
"001","M","USD","CHF","79989898","1.60100","0","0"
"800","EURX","CZK","EUR","79958880","-31.08000","0","0"
"800","EURX","SIT","EUR","79949671","-218.90010","0","0"
"811","EURX","ITL","EUR","81999898","-1936.27000","0","0"
"800","EURX","CLP","EUR","79959078","-757.22000","0","0"
"800","EURX","JPY","EUR","79949180","-134.43500","0","0"
"800","EURX","SIT","EUR","79949674","-218.90010","0","0"
"800","EURX","CZK","EUR","79958881","-31.20500","0","0"
"001","M","USD","COP","79989898","2.21350","0","0"
"811","EURX","JPY","EUR","79989785","-107.00000","0","0"
"800","EURX","CLP","EUR","79959079","-744.62000","0","0"
"800","EURX","SIT","EUR","79949675","-218.90010","0","0"
"800","EURX","JPY","EUR","79949181","-134.52500","0","0"
"800","EURX","CZK","EUR","79958882","-31.23000","0","0"
"001","M","USD","GBP","79989898","-1.50000","0","0"
"811","EURX","JPY","EUR","80009089","-110.90740","0","0"
"800","EURX","SIT","EUR","79949676","-218.90010","0","0"
"800","EURX","JPY","EUR","79949182","-134.90500","0","0"
"800","EURX","CZK","EUR","79958883","-31.38000","0","0"
"800","EURX","CLP","EUR","79959080","-743.89000","0","0"
"001","M","USD","ILS","79989898","4.07600","0","0"
"811","EURX","JPY","EUR","80009098","-110.36020","0","0"
"800","EURX","SIT","EUR","79949677","-218.90010","0","0"
"800","EURX","JPY","EUR","79949183","-134.70500","0","0"
"800","EURX","CZK","EUR","79958884","-31.43000","0","0"
"001","M","USD","NZD","79989898","-0.44203","0","0"
"800","EURX","CLP","EUR","79959081","-743.89000","0","0"
"811","EURX","JPY","EUR","80009168","-110.88230","0","0"
"800","EURX","CZK","EUR","79958885","-31.50000","0","0"
"811","EURX","JPY","EUR","80009169","-111.21020","0","0"
"800","EURX","JPY","EUR","79949184","-135.41500","0","0"
"001","M","USD","PLN","79989898","4.12900","0","0"
"800","EURX","CLP","EUR","79959082","-743.89000","0","0"
"800","EURX","SIT","EUR","79949678","-218.90010","0","0"
"811","EURX","JPY","EUR","80009172","-111.47550","0","0"
"800","EURX","CZK","EUR","79958886","-31.50000","0","0"
"800","EURX","SIT","EUR","79949681","-218.90010","0","0"
"800","EURX","JPY","EUR","79949187","-136.12500","0","0"
"001","M","USD","ROL","79989898","25.34000","0","0"
"800","EURX","CLP","EUR","79959083","-743.43000","0","0"
"811","EURX","JPY","EUR","80009173","-111.25120","0","0"
"800","EURX","CZK","EUR","79958887","-31.50000","0","0"
"800","EURX","SIT","EUR","79949692","-181.73500","0","0"
"800","EURX","JPY","EUR","79949188","-136.90500","0","0"
"001","M","USD","RUB","79989898","28.51500","0","0"
"800","EURX","CLP","EUR","79959084","-745.80000","0","0"
"811","EURX","JPY","EUR","80009174","-111.88480","0","0"
"800","EURX","CZK","EUR","79958888","-31.50600","0","0"
"800","EURX","SIT","EUR","79949693","-181.04500","0","0"
"800","EURX","JPY","EUR","79949189","-137.16500","0","0"
"811","EURX","JPY","EUR","80009175","-112.00220","0","0"
"001","M","USD","SAR","79989898","3.74340","0","0"
"800","EURX","CLP","EUR","79959085","-752.85000","0","0"
"800","EURX","SIT","EUR","79949694","-181.04500","0","0"
"800","EURX","CZK","EUR","79958889","-31.45100","0","0"
"811","EURX","JPY","EUR","80009176","-112.01310","0","0"
"800","EURX","JPY","EUR","79949190","-138.42500","0","0"
"800","EURX","SIT","EUR","79949695","-181.04500","0","0"
"001","M","USD","SGD","79989898","1.73600","0","0"
"800","EURX","CZK","EUR","79958890","-31.40000","0","0"
"800","EURX","GBP","EUR","79958871","-70.06000","0","0"
"800","EURG","JPY","EUR","79949788","-136.05500","0","0"
"800","EURX","CLP","EUR","79959086","-754.48000","0","0"
"811","EURX","JPY","EUR","80009179","-112.45890","0","0"
"800","EURX","SIT","EUR","79949696","-182.83500","0","0"
"800","EURX","JPY","EUR","79949191","-138.18500","0","0"
"800","EURX","CZK","EUR","79958891","-31.40400","0","0"
"001","M","USD","TRL","79989898","6.65600","0","0"
"811","EURX","JPY","EUR","80009180","-112.29850","0","0"
"800","EURX","CLP","EUR","79959087","-759.95000","0","0"
"800","EURX","SIT","EUR","79949697","-182.48500","0","0"
"001","M","USD","TWD","79989898","32.94000","0","0"
"800","EURX","JPY","EUR","79949194","-138.29500","0","0"
"800","EURX","CZK","EUR","79958892","-31.46000","0","0"
"811","EURX","JPY","EUR","80009181","-111.65480","0","0"
"800","EURG","JPY","EUR","79949789","-136.23500","0","0"
"800","EURX","GBP","EUR","79958872","-70.06000","0","0"
"800","EURX","SIT","EUR","79949698","-181.83500","0","0"
"800","EURX","CLP","EUR","79959088","-759.95000","0","0"
"001","M","USD","UAH","79989898","5.43460","0","0"
"811","EURX","JPY","EUR","80009182","-111.72230","0","0"
"800","EURX","JPY","EUR","79949195","-137.44500","0","0"
"800","EURX","CZK","EUR","79958893","-31.46000","0","0"
"800","EURX","SIT","EUR","79949771","-180.82500","0","0"
"800","EURX","PLN","EUR","79949482","-4.19580","0","0"
"001","M","USD","USDN","81999898","1.00000","0","0"
"800","EURX","CLP","EUR","79959089","-759.95000","0","0"
"800","EURG","JPY","EUR","79949790","-135.33000","0","0"
"811","EURX","JPY","EUR","80009183","-111.78110","0","0"
"800","EURX","GBP","EUR","79958873","-70.06000","0","0"
"800","EURX","JPY","EUR","79949196","-136.91500","0","0"
"800","EURX","SIT","EUR","79949772","-181.02500","0","0"
"800","EURX","CZK","EUR","79958894","-31.46000","0","0"
"001","M","VEB","ARS","79989898","1.42820","0","0"
"811","EURX","JPY","EUR","80009186","-111.23320","0","0"
"800","EURX","CLP","EUR","79959090","-753.59000","0","0"
"800","EURX","SIT","EUR","79949773","-181.02500","0","0"
"800","EURX","CZK","EUR","79958895","-31.47800","0","0"
"800","EURX","JPY","EUR","79949197","-135.99500","0","0"
"800","EURX","PLN","EUR","79949483","-4.20200","0","0"
"800","EURX","GBP","EUR","79958874","-70.12000","0","0"
"811","EURX","JPY","EUR","80009187","-110.99400","0","0"
"001","M","VEB","CAD","79989898","2.13700","0","0"
"800","EURG","JPY","EUR","79949791","-135.04500","0","0"
"800","EURX","CZK","EUR","79958896","-31.43200","0","0"
"800","EURX","SIT","EUR","79949774","-181.02500","0","0"
"800","EURX","CLP","EUR","79959091","-753.06000","0","0"
"800","EURX","JPY","EUR","79949198","-136.88500","0","0"
"811","EURX","JPY","EUR","80009188","-110.81560","0","0"
"001","M","VEB","JPY","79989898","16.40000","0","0"
"800","EURX","SIT","EUR","79949775","-181.54500","0","0"
"800","EURX","CZK","EUR","79958897","-31.45100","0","0"
"811","EURX","JPY","EUR","80009189","-111.41560","0","0"
"800","EURX","GBP","EUR","79958875","-70.06000","0","0"
"001","M","VEB","USD","79989898","-700.19000","0","0"
"800","EURG","JPY","EUR","79949792","-133.84500","0","0"
"800","EURX","PLN","EUR","79949487","-4.16300","0","0"
"800","EURX","JPY","EUR","79949270","-136.03500","0","0"
"800","EURX","CLP","EUR","79959092","-753.66000","0","0"
"800","EURX","CZK","EUR","79958898","-31.48000","0","0"
"800","EURX","SIT","EUR","79949776","-181.47500","0","0"
"811","EURX","JPY","EUR","80009190","-111.08870","0","0"
"001","M","VEF","VEB","79989898","0.00100","0","0"
"800","EURX","JPY","EUR","79949271","-135.79500","0","0"
"800","EURX","CZK","EUR","79958968","-31.48000","0","0"
"800","EURX","SIT","EUR","79949777","-180.86500","0","0"
"811","EURX","JPY","EUR","80009193","-111.12950","0","0"
"800","EURG","JPY","EUR","79949793","-133.91000","0","0"
"800","EURX","GBP","EUR","79958876","-70.05000","0","0"
"800","EURX","PLN","EUR","79949488","-4.16700","0","0"
"800","EURX","CLP","EUR","79959093","-750.05000","0","0"
"800","EURX","JPY","EUR","79949272","-135.16500","0","0"
"001","M","ZAR","USD","79989898","-7.56100","0","0"
"800","EURX","CZK","EUR","79958969","-31.48000","0","0"
"811","EURX","JPY","EUR","80009194","-111.12480","0","0"
"800","EURX","SIT","EUR","79949778","-183.48500","0","0"
"800","EURG","JPY","EUR","79949794","-133.91000","0","0"
"800","EURX","CZK","EUR","79958970","-31.48000","0","0"
"800","EURX","JPY","EUR","79949273","-134.90500","0","0"
"800","EURX","GBP","EUR","79958877","-70.10000","0","0"
"001","P","DEM","USD","79989898","-2.07000","0","0"
"800","EURX","SIT","EUR","79949779","-183.46500","0","0"
"800","EURX","CLP","EUR","79959094","-762.30000","0","0"
"811","EURX","JPY","EUR","80009195","-110.90930","0","0"
"800","EURX","CZK","EUR","79958971","-31.55000","0","0"
"800","EURG","JPY","EUR","79949795","-133.91000","0","0"
"800","EURX","JPY","EUR","79949274","-134.80500","0","0"
"811","EURX","JPY","EUR","80009196","-110.74460","0","0"
"001","P","JPY","USD","79989898","-115.00000","0","0"
"800","EURX","SIT","EUR","79949780","-183.46500","0","0"
"800","EURX","CZK","EUR","79958972","-31.55300","0","0"
"800","EURX","GBP","EUR","79958878","-70.18000","0","0"
"811","EURX","JPY","EUR","80009898","-162.32994","0","0"
"800","EURX","PLN","EUR","79949489","-4.17550","0","0"
"800","EURX","CLP","EUR","79959095","-762.30000","0","0"
"800","EURX","JPY","EUR","79949277","-134.57500","0","0"
"001","P","USD","DEM","79989898","2.07000","0","0"
"800","EURX","SIT","EUR","79949781","-183.46500","0","0"
"800","EURG","JPY","EUR","79949869","-134.84500","0","0"
"800","EURX","CZK","EUR","79958973","-31.63000","0","0"
"811","EURX","JPY","EUR","81999898","-162.32994","0","0"
"800","EURX","GBP","EUR","79958879","-70.18000","0","0"
"800","EURX","CLP","EUR","79959096","-762.30000","0","0"
"800","EURX","JPY","EUR","79949278","-134.66500","0","0"
"800","EURX","SIT","EUR","79949782","-183.34500","0","0"
"800","0011","EUR","DEM","80009898","1.95583","0","0"
"800","EURX","CZK","EUR","79958974","-31.61100","0","0"
"811","EURX","LUF","EUR","81999898","-40.33990","0","0"
"800","EURG","JPY","EUR","79949870","-134.84500","0","0"
"800","EURX","PLN","EUR","79949490","-4.12380","0","0"
"800","EURX","CLP","EUR","79959097","-759.43000","0","0"
"800","EURX","JPY","EUR","79949370","-133.03500","0","0"
"800","EURX","GBP","EUR","79958880","-70.18000","0","0"
"800","EURX","CZK","EUR","79958975","-31.52000","0","0"
"811","EURX","MXN","EUR","81999898","12.00000","0","0"
"800","1001","AUD","USD","80049898","0.75000","0","0"
"800","EURX","SIT","EUR","79949783","-184.06500","0","0"
"800","EURX","CLP","EUR","79959098","-763.46000","0","0"
"800","EURG","JPY","EUR","79949871","-134.84500","0","0"
"811","EURX","NLG","EUR","81999898","-2.20371","0","0"
"800","EURX","PLN","EUR","79949493","-4.12900","0","0"
"800","EURX","JPY","EUR","79949371","-132.81500","0","0"
"800","1001","AUD","USD","80059898","0.70000","0","0"
"800","EURX","SIT","EUR","79949784","-184.15500","0","0"
"800","EURX","CZK","EUR","79958976","-31.52000","0","0"
"800","EURX","GBP","EUR","79958881","-70.06000","0","0"
"800","EURX","CLP","EUR","79959168","-760.63000","0","0"
"811","EURX","NOK","EUR","80009898","-8.90132","0","0"
"800","EURX","SIT","EUR","79949785","-184.98500","0","0"
"800","EURX","JPY","EUR","79949372","-132.96500","0","0"
"800","EURX","CZK","EUR","79958977","-31.52000","0","0"
"800","1001","DEM","USD","80009898","0.60000","0","0"
"800","EURG","JPY","EUR","79949872","-134.41000","0","0"
"800","EURX","GBP","EUR","79958882","-70.09000","0","0"
"800","EURX","CLP","EUR","79959169","-757.91000","0","0"
"800","EURX","PLN","EUR","79949494","-4.14800","0","0"
"811","EURX","PEN","EUR","80009898","-3.75367","0","0"
"800","EURX","SIT","EUR","79949786","-186.32500","0","0"
"800","EURX","CZK","EUR","79958978","-31.50100","0","0"
"800","1001","DEM","USD","80049898","0.60000","0","0"
"800","EURX","JPY","EUR","79949375","-131.97500","0","0"
"800","EURX","CLP","EUR","79959170","-753.34000","0","0"
"811","EURX","PKT","EUR","80009898","1.00000","0","0"
"800","EURX","SIT","EUR","79949787","-186.32500","0","0"
"800","EURX","CZK","EUR","79959898","-32.26500","0","0"
"800","EURG","JPY","EUR","79949873","-134.71500","0","0"
"800","1001","DEM","USD","80059898","0.50000","0","0"
"800","EURX","JPY","EUR","79949377","-131.83000","0","0"
"800","EURX","GBP","EUR","79958883","-69.95000","0","0"
"800","EURX","PLN","EUR","79949495","-4.19230","0","0"
"800","EURX","SIT","EUR","79949788","-186.32500","0","0"
"811","EURX","PLN","EUR","80009898","-4.16129","0","0"
"800","EURX","AUD","EUR","79949277","-1.57940","0","0"
"800","1001","ESP","USD","80049898","0.01000","0","0"
"800","EURX","SIT","EUR","79949789","-186.25500","0","0"
"811","EURX","PTE","EUR","81999898","-200.48200","0","0"
"800","EURX","JPY","EUR","79949378","-131.62500","0","0"
"800","EURX","GBP","EUR","79958884","-70.07000","0","0"
"800","EURX","AUD","EUR","79949278","-1.59340","0","0"
"800","EURX","PLN","EUR","79949496","-4.22900","0","0"
"800","EURG","JPY","EUR","79949874","-134.99500","0","0"
"800","1001","ESP","USD","80059898","0.00800","0","0"
"800","EURX","SIT","EUR","79949790","-187.21500","0","0"
"811","EURX","ROL","EUR","80009898","-11.82952","0","0"
"800","EURX","CLP","EUR","79959171","-753.34000","0","0"
"800","EURX","JPY","EUR","79949382","-132.57500","0","0"
"800","EURX","AUD","EUR","79949370","-1.58370","0","0"
"800","1001","FRF","USD","80049898","0.18000","0","0"
"800","EURX","GBP","EUR","79958885","-69.92000","0","0"
"811","EURX","RUB","EUR","80009898","-24.81269","0","0"
"800","EURX","SIT","EUR","79949791","-187.78500","0","0"
