"MANDT",DIMID,"LENG","MASS","TIMEX","ECURR","TEMP","MOLQU","LIGHT","MSSIE","TEMP_DEP","PRESS_DEP"
"666","LIGHT",0,0,0,0,0,0,1,"CD",,
"510","MPROPO",0,0,0,0,0,0,11,,,
"900","FREQU",0,0,0,0,0,0,0,"HZ",,
"504","HYDROL",3,0,0,0,0,0,0,,,
"303","RESIST",2,1,0,0,0,0,0,"OHM",,
"666","MAGNFD",0,1,0,0,0,0,0,,,
"561","SURFTE",0,1,0,0,0,0,0,,,
"213","STEXKZ",0,1,0,0,0,0,0,"MPZ",,
"510","POINTS",0,0,0,0,0,0,9,"P",,
"900","HYDROL",3,0,0,0,0,0,0,"LMS",,
"504","LENGTH",1,0,0,0,0,0,0,"M",,
"561","SURINV",0,0,0,0,0,0,0,"M2I",,
"666","MAPER",0,0,2,0,0,0,0,"kgj",,
"303","ROUNDS",1,0,1,0,0,0,0,,,
"213","SURFAC",2,0,0,0,0,0,0,"M2",,
"510","POWER",2,1,0,0,0,0,0,"W",,
"900","LENGTH",1,0,0,0,0,0,0,"M",,
"666","MASFLO",0,1,0,0,0,0,0,"KGS",,
"561","TEMP",0,0,0,0,1,0,0,"K",,
"504","LIGHT",0,0,0,0,0,0,1,"CD",,
"303","SDL",0,0,0,0,0,0,22,,,"X"
"900","LIGHT",0,0,0,0,0,0,1,"CD",,
"666","MASS",0,1,0,0,0,0,0,"KG",,
"504","MAGNFD",0,1,0,0,0,0,0,,,
"561","TEMPRT",0,0,0,0,1,0,0,,,
"213","SURFTE",0,1,0,0,0,0,0,"NM",,
"510","PRESS",0,1,0,0,0,0,0,"PA",,
"666","MASSBD",0,1,0,0,0,0,0,,,
"900","MAGNFD",0,1,0,0,0,0,0,"TES",,
"303","SPAEQU",0,0,0,0,0,1,0,,,
"504","MASFLO",0,1,0,0,0,0,0,"KGS",,
"561","TIME",0,0,1,0,0,0,0,"S",,
"666","MOENER",2,1,0,0,0,1,0,,,
"900","MAPER",0,0,2,0,0,0,0,"kgj",,
"213","SURINV",0,0,0,0,0,0,0,"M2I",,
"504","MASS",0,1,0,0,0,0,0,"KG",,
"303","SPARAD",0,0,0,0,0,0,0,,,
"666","MOLMAS",0,1,0,0,0,0,0,,,
"510","PROPOR",0,0,0,0,0,0,10,,,
"561","TKONZ",0,0,0,0,0,0,0,,,
"900","MASFLO",0,1,0,0,0,0,0,"KGS",,
"504","MASSBD",0,1,0,0,0,0,0,,,
"666","MOLQU",0,0,0,0,0,1,0,"MOL",,
"900","MASS",0,1,0,0,0,0,0,"KG",,
"561","VISDYN",0,1,0,0,0,0,0,"PAS",,
"510","RESIST",2,1,0,0,0,0,0,"OHM",,
"504","MOENER",2,1,0,0,0,1,0,,,
"000","AAAADL",0,0,0,0,0,0,0,,,
"213","TEMP",0,0,0,0,1,0,0,"K",,
"303","SPEED",1,0,0,0,0,0,0,"M/S",,
"900","MASSBD",0,1,0,0,0,0,0,"KGF",,
"561","VISKIN",2,0,0,0,0,0,0,"M2S",,
"666","MPROPO",0,0,0,0,0,0,11,,,
"504","MOLMAS",0,1,0,0,0,0,0,,,
"510","ROUNDS",1,0,1,0,0,0,0,,,
"900","MOENER",2,1,0,0,0,1,0,"JMO",,
"666","POINTS",0,0,0,0,0,0,9,"P",,
"504","MOLQU",0,0,0,0,0,1,0,"MOL",,
"213","TEMPRT",0,0,0,0,1,0,0,"KMS",,
"000","ACBAC",0,0,0,0,0,1,0,"C36",,
"510","SPAEQU",0,0,0,0,0,1,0,,,
"561","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"303","SPENER",2,0,0,0,0,0,0,,,
"900","MOLMAS",0,1,0,0,0,0,0,"KGM",,
"666","POWER",2,1,0,0,0,0,0,"W",,
"504","MPROPO",0,0,0,0,0,0,11,,,
"213","THCOND",1,1,0,0,0,0,0,"WMK","X",
"504","POINTS",0,0,0,0,0,0,9,"P",,
"510","SPARAD",0,0,0,0,0,0,0,,,
"666","PRESS",0,1,0,0,0,0,0,"PA",,
"000","ACCEL",1,0,0,0,0,0,0,"MS2",,
"900","MOLQU",0,0,0,0,0,1,0,"MOL",,
"504","POWER",2,1,0,0,0,0,0,"W",,
"561","VOLTAG",2,1,0,0,0,0,0,"V",,
"213","TIME",0,0,1,0,0,0,0,"S",,
"303","STEXKZ",0,1,0,0,0,0,0,,,
"900","MPROPO",0,0,0,0,0,0,11,"KGK",,
"000","CAPACI",0,0,4,2,0,0,0,"F",,
"666","PROPOR",0,0,0,0,0,0,10,,,
"510","SPEED",1,0,0,0,0,0,0,"M/S",,
"504","PRESS",0,1,0,0,0,0,0,"PA",,
"213","TKONZ",0,0,0,0,0,0,0,"TM3",,
"900","POINTS",0,0,0,0,0,0,9,"P",,
"303","SURFAC",2,0,0,0,0,0,0,"M2",,
"561","VOLUME",3,0,0,0,0,0,0,"M3",,
"000","CONDUC",0,0,3,2,0,0,0,"D10",,
"666","RESIST",2,1,0,0,0,0,0,"OHM",,
"510","SPENER",2,0,0,0,0,0,0,,,
"504","PROPOR",0,0,0,0,0,0,10,,,
"900","POWER",2,1,0,0,0,0,0,"W",,
"213","VISDYN",0,1,0,0,0,0,0,"PAS",,
"666","ROUNDS",1,0,1,0,0,0,0,,,
"504","RESIST",2,1,0,0,0,0,0,"OHM",,
"561","VPROPO",0,0,0,0,0,0,12,,,
"303","SURFTE",0,1,0,0,0,0,0,,,
"510","STEXKZ",0,1,0,0,0,0,0,,,
"000","DENSI",0,1,0,0,0,0,0,"KGV",,
"900","PRESS",0,1,0,0,0,0,0,"PA",,
"666","SDL",0,0,0,0,0,0,22,,,"X"
"213","VISKIN",2,0,0,0,0,0,0,"M2S",,
"504","ROUNDS",1,0,1,0,0,0,0,,,
"000","ECURR",0,0,0,1,0,0,0,"A",,
"510","SURFAC",2,0,0,0,0,0,0,"M2",,
"600","AAAADL",0,0,0,0,0,0,0,,"X","X"
"900","PROPOR",0,0,0,0,0,0,10,"1",,
"666","SPAEQU",0,0,0,0,0,1,0,,,
"504","SDL",0,0,0,0,0,0,22,,,"X"
"303","SURINV",0,0,0,0,0,0,0,"M2I",,
"510","SURFTE",0,1,0,0,0,0,0,,,
"000","ENERGY",2,1,0,0,0,0,0,"J",,
"213","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"504","SPAEQU",0,0,0,0,0,1,0,,,
"900","RESIST",2,1,0,0,0,0,0,"OHM",,
"600","ACCEL",1,0,0,0,0,0,0,"MS2",,
"666","SPARAD",0,0,0,0,0,0,0,,,
"303","TEMP",0,0,0,0,1,0,0,"K",,
"000","EVARA",0,1,0,0,0,0,0,,,
"510","SURINV",0,0,0,0,0,0,0,"M2I",,
"504","SPARAD",0,0,0,0,0,0,0,,,
"900","SPAEQU",0,0,0,0,0,1,0,"MOK",,
"666","SPEED",1,0,0,0,0,0,0,"M/S",,
"510","TEMP",0,0,0,0,1,0,0,"K",,
"000","FORCE",1,1,0,0,0,0,0,"N",,
"213","VOLTAG",2,1,0,0,0,0,0,"V",,
"900","SPARAD",0,0,0,0,0,0,0,"BQK",,
"510","TEMPRT",0,0,0,0,1,0,0,,,
"666","SPENER",2,0,0,0,0,0,0,,,
"000","FREQU",0,0,0,0,0,0,0,"HZ",,
"504","SPEED",1,0,0,0,0,0,0,"M/S",,
"600","CAPACI",0,0,4,2,0,0,0,,,
"900","SPEED",1,0,0,0,0,0,0,"M/S",,
"666","STEXKZ",0,1,0,0,0,0,0,,,
"504","SPENER",2,0,0,0,0,0,0,,,
"510","TIME",0,0,1,0,0,0,0,"S",,
"213","VOLUME",3,0,0,0,0,0,0,"M3",,
"000","HYDROL",3,0,0,0,0,0,0,"LMS",,
"900","SPENER",2,0,0,0,0,0,0,"JKG",,
"666","SURFAC",2,0,0,0,0,0,0,"M2",,
"504","STEXKZ",0,1,0,0,0,0,0,,,
"600","CONDUC",0,0,3,2,0,0,0,"D10",,
"510","TKONZ",0,0,0,0,0,0,0,,,
"000","LENGTH",1,0,0,0,0,0,0,"M",,
"900","SPHCAP",2,0,0,0,0,0,0,"JKK","X",
"666","SURFTE",0,1,0,0,0,0,0,,,
"504","SURFAC",2,0,0,0,0,0,0,"M2",,
"213","VPROPO",0,0,0,0,0,0,12,"KMK",,
"510","VISDYN",0,1,0,0,0,0,0,"PAS",,
"000","LIGHT",0,0,0,0,0,0,1,"CD",,
"900","SPREST",3,1,0,0,0,0,0,"OM",,
"666","SURINV",0,0,0,0,0,0,0,"M2I",,
"504","SURFTE",0,1,0,0,0,0,0,,,
"600","DENSI",0,1,0,0,0,0,0,"KGV",,
