"MANDT",DIMID,"LENG","MASS","TIMEX","ECURR","TEMP","MOLQU","LIGHT","MSSIE","TEMP_DEP","PRESS_DEP"
"003","ACBAC",0,0,0,0,0,1,0,"C36",,
"310","HYDROL",3,0,0,0,0,0,0,"LMS",,
"214","PROPOR",0,0,0,0,0,0,10,"1",,
"706","TEMPRT",0,0,0,0,1,0,0,,,
"600","POWER",2,1,0,0,0,0,0,"W",,
"511","TEMPRT",0,0,0,0,1,0,0,,,
"003","ACCEL",1,0,0,0,0,0,0,"MS2",,
"706","TIME",0,0,1,0,0,0,0,"S",,
"310","LENGTH",1,0,0,0,0,0,0,"M",,
"511","TIME",0,0,1,0,0,0,0,"S",,
"214","RESIST",2,1,0,0,0,0,0,"OHM",,
"003","CAPACI",0,0,4,2,0,0,0,"F",,
"706","TKONZ",0,0,0,0,0,0,0,,,
"511","TKONZ",0,0,0,0,0,0,0,,,
"310","LIGHT",0,0,0,0,0,0,1,"CD",,
"706","VISDYN",0,1,0,0,0,0,0,"PAS",,
"511","VISDYN",0,1,0,0,0,0,0,"PAS",,
"214","SPAEQU",0,0,0,0,0,1,0,"MOK",,
"003","CONDUC",0,0,3,2,0,0,0,"D10",,
